"Techstack","Links"
"Java, Spring Boot, REST APIs, Microservices","https://github.com/ashimaadya/springboot-microservices"
"Kafka, Apache Flink, event streaming, real-time pipelines","https://github.com/ashimaadya/kafka-flink-pipeline"
"Azure ADF, Databricks, Synapse, ETL pipelines","https://linkedin.com/in/ashimaadya"
"PostgreSQL, CosmosDB, database design, backend systems","https://github.com/ashimaadya/db-patterns"
"Kubernetes, AKS, ArgoCD, cloud deployment","https://github.com/ashimaadya/k8s-deployment-patterns"
"Python, LangChain, Groq, RAG, AI agents","https://github.com/AshimaAdya/ColdEmailGenration"
"Azure Databricks, PySpark, data engineering","https://linkedin.com/in/ashimaadya"
"Distributed systems, backend architecture, system design","https://github.com/ashimaadya/system-design-notes"
"React, Node.js, MongoDB","https://example.com/react-portfolio"
"Angular,.NET, SQL Server","https://example.com/angular-portfolio"
"Vue.js, Ruby on Rails, PostgreSQL","https://example.com/vue-portfolio"
"Python, Django, MySQL","https://example.com/python-portfolio"
"Java, Spring Boot, Oracle","https://example.com/java-portfolio"
"Flutter, Firebase, GraphQL","https://example.com/flutter-portfolio"
"WordPress, PHP, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL","https://example.com/magento-portfolio"
"React Native, Node.js, MongoDB","https://example.com/react-native-portfolio"
"iOS, Swift, Core Data","https://example.com/ios-portfolio"
"Android, Java, Room Persistence","https://example.com/android-portfolio"
"Kotlin, Android, Firebase","https://example.com/kotlin-android-portfolio"
"Android TV, Kotlin, Android NDK","https://example.com/android-tv-portfolio"
"iOS, Swift, ARKit","https://example.com/ios-ar-portfolio"
"Cross-platform, Xamarin, Azure","https://example.com/xamarin-portfolio"
"Backend, Kotlin, Spring Boot","https://example.com/kotlin-backend-portfolio"
"Frontend, TypeScript, Angular","https://example.com/typescript-frontend-portfolio"
"Full-stack, JavaScript, Express.js","https://example.com/full-stack-js-portfolio"
"Machine Learning, Python, TensorFlow","https://example.com/ml-python-portfolio"
"DevOps, Jenkins, Docker","https://example.com/devops-portfolio"
